,Mean_Danger_Rating,"Population, 2016",Popn_prop,Total private dwellings,Dwellin_propn,Population density per square kilometre,Popn_density_Comp_to_city,Children (0-14 years),Children_propn,Seniors (65+ years),Older Seniors (85+ years),Seniors (>65),Seniors_propn,Average household size,Avg_household_size_comp_to_city,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Commuters_into_neigh_propn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
keelesdale_eglinton_west,1.219512195,"11,058",0.0040,"4,575",0.0039,"6,467",1.492,"1,610",0.0040,"1,785",230,"2,015",0.004,2.64,1.0909,"3,770",0.0035,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,6.67,13.33,6.67,0.00,6.67,20.00,0.00,0.00,6.67,6.67,13.33,0.00,6.67,0.00,0.00
kennedy_park,1.418181818,"17,123",0.0063,"6,885",0.0058,"4,770",1.101,"2,775",0.0070,"2,550",330,"2,880",0.006,2.6,1.0744,"6,475",0.0059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,4.17,4.17,12.50,8.33,0.00,0.00,0.00,8.33,4.17,8.33,0.00,16.67,12.50,4.17,8.33,0.00
kensington_chinatown,1.205882353,"17,945",0.0066,"9,745",0.0083,"11,806",2.724,"1,315",0.0033,"2,705",480,"3,185",0.006,2,0.8264,"7,540",0.0069,8.11,2.70,10.81,5.41,0.00,0.00,0.00,2.70,2.70,2.70,10.81,0.00,2.70,5.41,2.70,0.00,10.81,10.81,5.41,5.41,0.00,0.00,2.70,8.11
kingsview_village_the_westway,1,"22,000",0.0081,"8,159",0.0069,"4,356",1.005,"4,240",0.0106,"3,585",575,"4,160",0.008,2.82,1.1653,"7,415",0.0068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,16.67,0.00,0.00,16.67,16.67,0.00
kingsway_south,1.333333333,"9,271",0.0034,"3,710",0.0031,"3,593",0.829,"1,580",0.0040,"1,995",325,"2,320",0.005,2.56,1.0579,"3,415",0.0031,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00
l_amoreaux,1.363636364,"43,993",0.0161,"15,486",0.0131,"6,144",1.418,"6,120",0.0154,"8,990","1,345","10,335",0.021,2.89,1.1942,"15,465",0.0142,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,21.74,0.00,8.70,0.00,0.00,4.35,0.00,4.35,0.00,8.70,4.35,4.35,8.70,4.35,13.04,4.35
lansing_westgate,1.3125,"16,164",0.0059,"6,943",0.0059,"3,038",0.701,"2,420",0.0061,"2,160",360,"2,520",0.005,2.44,1.0083,"6,760",0.0062,5.26,5.26,0.00,5.26,0.00,0.00,0.00,5.26,10.53,0.00,5.26,0.00,15.79,0.00,0.00,5.26,0.00,5.26,10.53,5.26,10.53,5.26,0.00,5.26
lawrence_park_north,1.333333333,"14,607",0.0053,"5,622",0.0048,"6,407",1.478,"3,280",0.0082,"1,935",265,"2,200",0.004,2.69,1.1116,"6,040",0.0055,0.00,14.29,14.29,14.29,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lawrence_park_south,1.05,"15,179",0.0056,"6,017",0.0051,"4,685",1.081,"2,845",0.0071,"2,235",315,"2,550",0.005,2.63,1.0868,"6,035",0.0055,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,16.67,0.00,16.67,16.67,0.00,0.00
leaside_bennington,1.421052632,"16,828",0.0062,"6,712",0.0057,"3,596",0.830,"3,285",0.0083,"2,550",400,"2,950",0.006,2.59,1.0702,"6,835",0.0063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,12.50,0.00,12.50,0.00,0.00,12.50,25.00,0.00,0.00,0.00
little_portugal,1.444444444,"15,559",0.0057,"8,095",0.0069,"12,859",2.967,"1,400",0.0035,"1,855",255,"2,110",0.004,2.03,0.8388,"7,865",0.0072,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,16.67,0.00,16.67,8.33,0.00,16.67,0.00,8.33,0.00,0.00,0.00,8.33,0.00,8.33,8.33,0.00
long_branch,1.166666667,"10,084",0.0037,"5,145",0.0044,"4,584",1.058,"1,335",0.0034,"1,405",140,"1,545",0.003,2.09,0.8636,"4,615",0.0042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
malvern,1.297297297,"43,794",0.0160,"13,936",0.0118,"4,948",1.142,"7,910",0.0199,"5,890",445,"6,335",0.013,3.26,1.3471,"16,770",0.0154,10.34,0.00,0.00,0.00,0.00,3.45,3.45,6.90,6.90,6.90,0.00,0.00,0.00,3.45,6.90,3.45,3.45,3.45,10.34,10.34,10.34,3.45,6.90,0.00
maple_leaf,1.125,"10,111",0.0037,"3,696",0.0031,"4,012",0.926,"1,500",0.0038,"2,030",380,"2,410",0.005,2.77,1.1446,"3,830",0.0035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00
markland_wood,1.5625,"10,554",0.0039,"4,348",0.0037,"3,614",0.834,"1,340",0.0034,"2,705",535,"3,240",0.007,2.43,1.0041,"4,085",0.0037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00
milliken,1.5,"26,572",0.0097,"7,825",0.0066,"2,830",0.653,"3,675",0.0092,"5,115",880,"5,995",0.012,3.39,1.4008,"9,110",0.0083,0.00,0.00,0.00,0.00,3.33,3.33,10.00,3.33,3.33,13.33,6.67,3.33,0.00,0.00,3.33,0.00,3.33,13.33,13.33,3.33,0.00,13.33,0.00,3.33
mimico_includes_humber_bay_shores,1.611111111,"33,964",0.0124,"20,486",0.0174,"4,915",1.134,"3,505",0.0088,"5,160",565,"5,725",0.012,1.87,0.7727,"15,550",0.0142,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,11.11,0.00,0.00,0.00,0.00,11.11,22.22,5.56,5.56,5.56,11.11,0.00,11.11,0.00,5.56,0.00
morningside,1.5,"17,455",0.0064,"6,044",0.0051,"3,041",0.702,"2,880",0.0072,"2,695",355,"3,050",0.006,2.92,1.2066,"6,320",0.0058,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00
moss_park,1.461538462,"20,506",0.0075,"12,513",0.0106,"14,753",3.404,"1,540",0.0039,"1,900",140,"2,040",0.004,1.6,0.6612,"9,355",0.0086,0.00,9.09,3.03,0.00,6.06,0.00,6.06,3.03,3.03,9.09,3.03,0.00,0.00,3.03,3.03,3.03,0.00,6.06,9.09,0.00,12.12,9.09,9.09,3.03
mount_dennis,1.352941176,"13,593",0.0050,"5,386",0.0046,"6,442",1.486,"2,395",0.0060,"1,685",265,"1,950",0.004,2.56,1.0579,"4,740",0.0043,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,14.29,28.57,14.29,0.00,0.00,14.29,0.00
mount_olive_silverstone_jamestown,1.3,"32,954",0.0121,"10,220",0.0087,"7,291",1.682,"7,090",0.0178,"3,560",300,"3,860",0.008,3.32,1.3719,"10,670",0.0098,0.00,0.00,0.00,0.00,0.00,0.00,30.77,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,7.69,7.69,7.69,0.00
mount_pleasant_east,1.25,"16,775",0.0061,"7,715",0.0065,"5,411",1.249,"2,980",0.0075,"2,455",260,"2,715",0.006,2.25,0.9298,"7,110",0.0065,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,10.00,0.00,10.00,0.00,0.00,10.00,0.00
mount_pleasant_west,1.225,"29,658",0.0109,"18,495",0.0157,"21,969",5.069,"2,380",0.0060,"4,605",940,"5,545",0.011,1.65,0.6818,"15,400",0.0141,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,13.33,6.67,6.67,0.00,13.33,13.33,6.67,0.00,6.67,0.00,0.00,6.67,0.00,6.67,6.67
new_toronto,1.227272727,"11,463",0.0042,"5,657",0.0048,"3,342",0.771,"1,610",0.0040,"1,525",140,"1,665",0.003,2.1,0.8678,"4,765",0.0044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00
newtonbrook_east,1.583333333,"16,097",0.0059,"6,470",0.0055,"3,926",0.906,"1,585",0.0040,"3,320",670,"3,990",0.008,2.54,1.0496,"5,745",0.0053,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,15.79,5.26,0.00,5.26,0.00,5.26,10.53,31.58,0.00,5.26,0.00,10.53,0.00,0.00,0.00
newtonbrook_west,1.333333333,"23,831",0.0087,"9,416",0.0080,"5,070",1.170,"2,810",0.0071,"4,165",685,"4,850",0.010,2.64,1.0909,"8,915",0.0082,0.00,4.17,0.00,4.17,0.00,0.00,0.00,4.17,20.83,0.00,8.33,0.00,0.00,12.50,4.17,12.50,0.00,4.17,4.17,12.50,4.17,0.00,4.17,0.00
niagara,1.162790698,"31,180",0.0114,"19,660",0.0167,"10,156",2.343,"2,055",0.0052,"1,510",95,"1,605",0.003,1.62,0.6694,"19,205",0.0176,0.00,7.14,7.14,0.00,0.00,0.00,7.14,0.00,7.14,7.14,0.00,0.00,0.00,7.14,0.00,0.00,14.29,0.00,0.00,7.14,7.14,7.14,14.29,7.14
north_riverdale,1.153846154,"11,916",0.0044,"5,306",0.0045,"6,770",1.562,"1,960",0.0049,"1,660",140,"1,800",0.004,2.33,0.9628,"5,445",0.0050,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,15.38,15.38,0.00,15.38,15.38,0.00,0.00,0.00,7.69,0.00,0.00,7.69
north_st_james_town,1.555555556,"18,615",0.0068,"10,109",0.0086,"44,321",10.226,"2,290",0.0058,"1,740",220,"1,960",0.004,1.92,0.7934,"8,265",0.0076,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00
oakridge,1.388888889,"13,845",0.0051,"5,586",0.0047,"7,444",1.718,"2,865",0.0072,"1,655",255,"1,910",0.004,2.57,1.0620,"4,105",0.0038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,14.29,0.00,0.00
oakwood_village,1.363636364,"21,210",0.0078,"9,235",0.0078,"9,511",2.195,"3,130",0.0079,"3,700",540,"4,240",0.009,2.42,1.0000,"8,375",0.0077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00
o_connor_parkview,1.244897959,"18,675",0.0068,"7,713",0.0065,"3,780",0.872,"3,110",0.0078,"2,690",430,"3,120",0.006,2.48,1.0248,"6,965",0.0064,0.00,5.00,0.00,10.00,5.00,0.00,0.00,0.00,10.00,0.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,15.00,5.00,0.00,5.00,0.00,0.00
old_east_york,1.243902439,"9,233",0.0034,"3,960",0.0034,"3,997",0.922,"1,470",0.0037,"1,520",230,"1,750",0.004,2.43,1.0041,"3,910",0.0036,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,6.25,6.25,6.25,6.25,0.00,6.25,6.25,0.00,0.00,18.75,0.00,6.25
palmerston_little_italy,1.4,"13,826",0.0051,"6,862",0.0058,"9,601",2.215,"1,280",0.0032,"1,960",290,"2,250",0.005,2.17,0.8967,"6,785",0.0062,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,12.50,12.50,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
parkwoods_donalda,1.588235294,"34,805",0.0127,"13,921",0.0118,"4,691",1.082,"5,840",0.0147,"5,250",775,"6,025",0.012,2.61,1.0785,"13,315",0.0122,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00
pelmo_park_humberlea,1.454545455,"10,722",0.0039,"3,860",0.0033,"2,547",0.588,"1,745",0.0044,"1,590",205,"1,795",0.004,2.89,1.1942,"4,355",0.0040,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00
playter_estates_danforth,1.545454545,"7,804",0.0029,"3,767",0.0032,"8,671",2.001,"1,150",0.0029,"1,220",195,"1,415",0.003,2.14,0.8843,"3,450",0.0032,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,20.00,0.00,0.00
pleasant_view,1.428571429,"15,818",0.0058,"5,703",0.0048,"5,273",1.217,"2,050",0.0051,"3,195",355,"3,550",0.007,2.86,1.1818,"5,790",0.0053,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00
princess_rosethorn,1.5,"11,051",0.0040,"3,958",0.0034,"2,138",0.493,"1,770",0.0044,"2,025",325,"2,350",0.005,2.86,1.1818,"4,305",0.0039,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
regent_park,1.363636364,"10,803",0.0040,"5,183",0.0044,"16,880",3.895,"1,635",0.0041,730,50,780,0.002,2.15,0.8884,"4,105",0.0038,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,0.00,22.22,0.00,11.11,0.00,11.11
rexdale_kipling,1.304347826,"10,529",0.0039,"3,989",0.0034,"4,229",0.976,"1,640",0.0041,"1,730",300,"2,030",0.004,2.69,1.1116,"4,045",0.0037,22.22,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,11.11,0.00,0.00,11.11,11.11,0.00,0.00
rockcliffe_smythe,1.434782609,"22,246",0.0081,"9,487",0.0080,"4,414",1.018,"3,505",0.0088,"3,655",480,"4,135",0.008,2.45,1.0124,"7,740",0.0071,0.00,5.00,0.00,0.00,0.00,5.00,10.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,15.00,20.00,10.00,5.00,0.00,5.00,5.00,0.00,0.00
roncesvalles,1.340909091,"14,974",0.0055,"7,305",0.0062,"9,851",2.273,"2,300",0.0058,"1,680",185,"1,865",0.004,2.16,0.8926,"6,485",0.0059,0.00,5.88,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,0.00,0.00,17.65,0.00,5.88,0.00,5.88,5.88,5.88,11.76,11.76,11.76,0.00
rosedale_moore_park,1.384615385,"20,923",0.0077,"10,702",0.0091,"4,500",1.038,"2,625",0.0066,"5,140",750,"5,890",0.012,2.05,0.8471,"8,335",0.0076,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,20.00,0.00,0.00,10.00,20.00,10.00,0.00,10.00,0.00,10.00
rouge,1.513513514,"46,496",0.0170,"13,730",0.0116,"1,260",0.291,"7,960",0.0200,"6,625",685,"7,310",0.015,3.44,1.4215,"19,180",0.0176,5.88,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,11.76,5.88,0.00,0.00,5.88,5.88,5.88,11.76,5.88,29.41,0.00,0.00
runnymede_bloor_west_village,1.304347826,"10,070",0.0037,"3,987",0.0034,"6,333",1.461,"2,050",0.0051,"1,245",195,"1,440",0.003,2.64,1.0909,"4,305",0.0039,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,10.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00
rustic,1.2,"9,941",0.0036,"3,726",0.0032,"4,734",1.092,"1,940",0.0049,"1,865",365,"2,230",0.005,2.67,1.1033,"2,970",0.0027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00
scarborough_village,1.48,"16,724",0.0061,"6,133",0.0052,"5,395",1.245,"3,365",0.0085,"2,225",430,"2,655",0.005,2.77,1.1446,"5,400",0.0049,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,11.11,22.22,11.11,0.00
south_parkdale,1.389830508,"21,849",0.0080,"12,085",0.0102,"9,583",2.211,"2,115",0.0053,"2,540",360,"2,900",0.006,1.81,0.7479,"9,720",0.0089,4.35,0.00,8.70,0.00,0.00,0.00,4.35,0.00,4.35,4.35,4.35,4.35,4.35,8.70,0.00,4.35,8.70,8.70,13.04,0.00,4.35,0.00,4.35,8.70
south_riverdale,1.24,"27,876",0.0102,"12,732",0.0108,"3,136",0.724,"3,975",0.0100,"3,330",520,"3,850",0.008,2.24,0.9256,"12,210",0.0112,2.63,2.63,5.26,0.00,0.00,0.00,5.26,0.00,7.89,2.63,5.26,7.89,5.26,2.63,7.89,5.26,5.26,7.89,5.26,2.63,5.26,7.89,5.26,0.00
st_andrew_windfields,1,"17,812",0.0065,"6,685",0.0057,"2,430",0.561,"2,645",0.0066,"3,235",410,"3,645",0.007,2.75,1.1364,"6,475",0.0059,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00
steeles,1.464285714,"24,623",0.0090,"8,032",0.0068,"5,436",1.254,"3,150",0.0079,"5,755",955,"6,710",0.014,3.11,1.2851,"8,010",0.0073,4.35,0.00,4.35,0.00,0.00,0.00,13.04,13.04,26.09,13.04,0.00,0.00,4.35,0.00,0.00,4.35,4.35,0.00,4.35,0.00,0.00,4.35,0.00,4.35
stonegate_queensway,1.176470588,"25,051",0.0092,"10,896",0.0092,"3,199",0.738,"4,060",0.0102,"4,165",750,"4,915",0.010,2.4,0.9917,"10,120",0.0093,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,16.67,8.33,8.33,8.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
tam_o_shanter_sullivan,1.112676056,"27,446",0.0100,"10,384",0.0088,"5,073",1.171,"3,885",0.0098,"6,160","1,220","7,380",0.015,2.69,1.1116,"9,605",0.0088,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,4.55,0.00,4.55,4.55,0.00,4.55,4.55,4.55,9.09,4.55,36.36,4.55,0.00,4.55,4.55
taylor_massey,1.130434783,"15,683",0.0057,"6,452",0.0055,"15,528",3.583,"2,950",0.0074,"1,705",270,"1,975",0.004,2.47,1.0207,"5,805",0.0053,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,0.00,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,12.50
the_beaches,1.407407407,"21,567",0.0079,"9,926",0.0084,"6,058",1.398,"3,825",0.0096,"2,955",265,"3,220",0.007,2.27,0.9380,"9,220",0.0084,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,9.09,18.18,0.00,0.00,0.00,9.09,9.09,9.09,18.18,9.09,0.00,0.00,0.00,0.00,0.00,0.00
thistletown_beaumond_heights,1.5,"10,360",0.0038,"3,472",0.0029,"3,130",0.722,"1,730",0.0043,"1,880",350,"2,230",0.005,3.09,1.2769,"3,570",0.0033,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,8.33,8.33,0.00,16.67,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,8.33,16.67,0.00,0.00
thorncliffe_park,1.4,"21,108",0.0077,"7,225",0.0061,"6,787",1.566,"5,600",0.0141,"2,365",425,"2,790",0.006,2.93,1.2107,"5,685",0.0052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,28.57,14.29,14.29,14.29,0.00
trinity_bellwoods,1.35,"16,556",0.0061,"7,562",0.0064,"9,570",2.208,"1,745",0.0044,"2,350",330,"2,680",0.005,2.35,0.9711,"7,155",0.0066,13.33,0.00,13.33,6.67,0.00,0.00,6.67,0.00,0.00,0.00,6.67,6.67,6.67,6.67,0.00,0.00,0.00,6.67,6.67,13.33,0.00,6.67,0.00,0.00
university,1.444444444,"7,607",0.0028,"3,826",0.0032,"5,395",1.245,565,0.0014,"1,320",305,"1,625",0.003,1.97,0.8140,"3,135",0.0029,0.00,0.00,25.00,8.33,8.33,0.00,0.00,0.00,0.00,16.67,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,8.33,16.67,0.00,0.00,0.00,0.00
victoria_village,1.333333333,"17,510",0.0064,"7,562",0.0064,"3,710",0.856,"2,630",0.0066,"3,405",570,"3,975",0.008,2.32,0.9587,"6,435",0.0059,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,18.18,9.09
waterfront_communities_the_island,1.36407767,"65,913",0.0241,"47,209",0.0400,"8,943",2.063,"3,650",0.0092,"4,635",365,"5,000",0.010,1.61,0.6653,"40,755",0.0373,5.41,4.05,4.05,2.70,1.35,1.35,2.70,4.05,2.70,6.76,2.70,2.70,2.70,4.05,6.76,8.11,8.11,6.76,4.05,5.41,2.70,4.05,2.70,4.05
west_hill,1.224489796,"27,392",0.0100,"10,318",0.0088,"2,856",0.659,"4,635",0.0116,"4,240",625,"4,865",0.010,2.7,1.1157,"9,475",0.0087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,10.53,0.00,0.00,15.79,10.53,0.00,0.00,10.53,0.00,5.26,10.53,0.00,5.26,10.53,0.00,5.26
west_humber_clairville,1.276190476,"33,312",0.0122,"11,045",0.0094,"1,117",0.258,"5,060",0.0127,"4,980",615,"5,595",0.011,3.2,1.3223,"13,245",0.0121,5.00,0.00,5.00,2.50,2.50,2.50,7.50,5.00,5.00,0.00,0.00,0.00,7.50,2.50,5.00,5.00,0.00,10.00,7.50,12.50,10.00,2.50,2.50,0.00
westminster_branson,1.411764706,"26,274",0.0096,"10,454",0.0089,"7,339",1.693,"3,440",0.0086,"5,130","1,000","6,130",0.012,2.55,1.0537,"10,065",0.0092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,33.33,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00
weston,1.388888889,"17,992",0.0066,"8,061",0.0068,"7,197",1.661,"3,100",0.0078,"2,445",395,"2,840",0.006,2.33,0.9628,"6,505",0.0060,0.00,0.00,6.67,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,13.33,13.33,6.67,6.67,6.67,0.00,6.67
weston_pelham_park,1.296296296,"11,098",0.0041,"4,559",0.0039,"7,601",1.754,"1,675",0.0042,"1,325",150,"1,475",0.003,2.62,1.0826,"4,110",0.0038,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,27.27,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,27.27,0.00,0.00,0.00,0.00,9.09
wexford_maryvale,1.490384615,"27,917",0.0102,"10,462",0.0089,"2,724",0.629,"4,215",0.0106,"4,715",905,"5,620",0.011,2.73,1.1281,"10,375",0.0095,0.00,0.00,0.00,2.78,2.78,0.00,11.11,8.33,8.33,0.00,2.78,2.78,2.78,2.78,2.78,8.33,5.56,5.56,11.11,2.78,8.33,2.78,2.78,5.56
willowdale_east,1.319444444,"50,434",0.0185,"23,901",0.0203,"10,087",2.327,"5,920",0.0149,"6,270",830,"7,100",0.014,2.25,0.9298,"19,530",0.0179,0.00,0.00,3.85,3.85,3.85,0.00,3.85,0.00,0.00,7.69,0.00,0.00,7.69,3.85,7.69,3.85,7.69,11.54,0.00,11.54,7.69,11.54,3.85,0.00
willowdale_west,1.260869565,"16,936",0.0062,"8,054",0.0068,"5,820",1.343,"1,785",0.0045,"3,370",655,"4,025",0.008,2.22,0.9174,"6,250",0.0057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,11.11,0.00,0.00,11.11,22.22,0.00,11.11,0.00,0.00,0.00,0.00,22.22
willowridge_martingrove_richview,1.304347826,"22,156",0.0081,"8,721",0.0074,"4,007",0.925,"3,555",0.0089,"4,905",885,"5,790",0.012,2.6,1.0744,"8,160",0.0075,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,33.33,0.00,11.11,0.00,0.00
woburn,1.411111111,"53,485",0.0196,"19,098",0.0162,"4,345",1.003,"9,625",0.0242,"8,010","1,130","9,140",0.019,2.87,1.1860,"18,845",0.0173,5.41,0.00,2.70,0.00,0.00,2.70,5.41,2.70,5.41,8.11,0.00,5.41,2.70,5.41,2.70,8.11,8.11,0.00,16.22,8.11,0.00,5.41,0.00,5.41
woodbine_corridor,1.161290323,"12,541",0.0046,"5,620",0.0048,"7,838",1.808,"2,325",0.0058,"1,380",170,"1,550",0.003,2.28,0.9421,"5,350",0.0049,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00
woodbine_lumsden,1.4375,"7,865",0.0029,"3,604",0.0031,"6,722",1.551,"1,165",0.0029,"1,095",125,"1,220",0.002,2.27,0.9380,"3,580",0.0033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,14.29,0.00,0.00,28.57,0.00,14.29,0.00,0.00,0.00,0.00
wychwood,1.458333333,"14,349",0.0053,"6,185",0.0052,"8,541",1.971,"1,860",0.0047,"3,150",880,"4,030",0.008,2.24,0.9256,"5,820",0.0053,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,18.18,0.00,18.18,0.00,9.09,18.18,0.00,9.09,0.00
