,Mean_Danger_Rating,"Population, 2016",Popn_prop,Total private dwellings,Dwellin_propn,Population density per square kilometre,Popn_density_Comp_to_city,Children (0-14 years),Children_propn,Seniors (65+ years),Older Seniors (85+ years),Seniors (>65),Seniors_propn,Average household size,Avg_household_size_comp_to_city,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,Commuters_into_neigh_propn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
briar_hill_belgravia,1.32,"14,257",0.0052,"6,080",0.0052,"7,791",1.798,"1,855",0.0047,"2,100",310,"2,410",0.005,2.48,1.0248,"6,155",0.0056,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,9.09,0.00,27.27,0.00,9.09,9.09,9.09,0.00
bridle_path_sunnybrook_york_mills,1.571428571,"9,266",0.0034,"3,478",0.0029,"1,040",0.240,"1,435",0.0036,"1,785",245,"2,030",0.004,2.83,1.1694,"2,950",0.0027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
broadview_north,1.583333333,"11,499",0.0042,"5,812",0.0049,"6,764",1.561,"1,470",0.0037,"1,865",255,"2,120",0.004,2,0.8264,"4,850",0.0044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,33.33,0.00,0.00,16.67,0.00
brookhaven_amesbury,1.380952381,"17,757",0.0065,"6,667",0.0057,"5,045",1.164,"3,360",0.0084,"2,130",285,"2,415",0.005,2.73,1.1281,"6,530",0.0060,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,22.22,11.11,11.11,0.00,0.00,0.00,11.11,0.00,11.11,0.00
cabbagetown_south_st_james_town,1.325,"11,669",0.0043,"6,761",0.0057,"8,335",1.923,800,0.0020,"2,250",305,"2,555",0.005,1.71,0.7066,"5,590",0.0051,0.00,0.00,0.00,0.00,0.00,0.00,6.67,20.00,0.00,6.67,6.67,0.00,6.67,6.67,6.67,0.00,6.67,6.67,13.33,13.33,0.00,0.00,0.00,0.00
caledonia_fairbank,1.205882353,"9,955",0.0036,"3,935",0.0033,"6,464",1.491,"1,490",0.0037,"1,325",165,"1,490",0.003,2.69,1.1116,"3,755",0.0034,0.00,0.00,0.00,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,8.33,8.33,8.33,16.67,0.00,8.33,8.33,0.00
casa_loma,1.282051282,"10,968",0.0040,"5,833",0.0049,"5,683",1.311,"1,200",0.0030,"2,675",395,"3,070",0.006,2,0.8264,"4,720",0.0043,7.14,7.14,0.00,7.14,0.00,0.00,0.00,0.00,7.14,7.14,0.00,14.29,0.00,7.14,0.00,0.00,0.00,0.00,7.14,21.43,14.29,0.00,0.00,0.00
centennial_scarborough,1.8,"13,362",0.0049,"4,439",0.0038,"2,479",0.572,"2,150",0.0054,"2,385",160,"2,545",0.005,3.05,1.2603,"5,435",0.0050,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00
church_yonge_corridor,1.292134831,"31,340",0.0115,"21,983",0.0186,"23,044",5.317,"1,260",0.0032,"3,010",250,"3,260",0.007,1.54,0.6364,"16,820",0.0154,0.00,0.00,0.00,5.88,2.94,2.94,8.82,2.94,0.00,2.94,5.88,5.88,2.94,8.82,8.82,5.88,8.82,5.88,2.94,2.94,2.94,2.94,5.88,2.94
clairlea_birchmount,1.414893617,"26,984",0.0099,"9,529",0.0081,"3,632",0.838,"4,565",0.0115,"3,630",660,"4,290",0.009,2.84,1.1736,"10,845",0.0099,0.00,2.70,0.00,2.70,0.00,0.00,5.41,0.00,5.41,2.70,5.41,0.00,0.00,8.11,5.41,8.11,18.92,2.70,5.41,10.81,10.81,5.41,0.00,0.00
